id,price,neighbourhood_cleansed,borough,latitude,longitude,property_type_cleaned,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_score_avg,months_since_last_review,host_years_experience,host_is_superhost,calculated_host_listings_count,nearest_subway_km,listing_count,avg_price,median_price,avg_review_score,listing_density,subway_station_count,subway_density,crime_count,crime_per_1000_listings
808629522066886810,312.0,Midtown,Manhattan,40.75308748447171,-73.97153018713655,Entire condo,Entire home/apt,2,1.0,0.0,1.0,30,365,323,0,4.827142857142858,120.0,3.2,f,40,0.39576058631783156,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808629563338473159,312.0,Midtown,Manhattan,40.75332,-73.97342,Entire condo,Entire home/apt,2,1.0,0.0,1.0,30,365,323,0,4.827142857142858,120.0,3.2,f,40,0.31661678263751625,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808629644846116021,329.0,Midtown,Manhattan,40.7529448869472,-73.97151205309346,Entire condo,Entire home/apt,2,1.0,0.0,1.0,30,365,323,0,4.827142857142858,120.0,3.2,f,40,0.409841644485073,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808629727441761020,329.0,Midtown,Manhattan,40.75208551703424,-73.9717392852429,Entire condo,Entire home/apt,2,1.0,0.0,1.0,30,365,323,0,4.827142857142858,120.0,3.2,f,40,0.4264198630512603,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
802852592911003580,44.0,Far Rockaway,Queens,40.59760052441917,-73.75264287594693,Private room in home,Private room,2,1.0,1.0,1.0,30,365,365,1,5.0,10.3,10.2,t,46,0.682622214754706,48,151.70833333333334,126.0,4.818244047619048,134207065318.64459,2.0,5591961054.943525,25000,520833.3333333334
802877326807090745,110.0,Midwood,Brooklyn,40.62926697012736,-73.97031931534424,Entire condo,Entire home/apt,2,1.0,1.0,1.0,30,365,338,8,4.859999999999999,4.0,5.3,t,1,0.6536172570582887,40,120.425,85.5,4.816142857142857,69906442713.46849,5.0,8738305339.183561,40000,1000000.0
808629897642520802,329.0,Midtown,Manhattan,40.75383353249784,-73.97158813159456,Entire condo,Entire home/apt,2,1.0,0.0,1.0,30,365,323,0,4.827142857142858,120.0,3.2,f,40,0.32244421799115314,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808629899486594865,329.0,Midtown,Manhattan,40.75170507998312,-73.97364282021395,Entire condo,Entire home/apt,2,1.0,0.0,1.0,30,365,323,0,4.827142857142858,120.0,3.2,f,40,0.2365515003723779,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808629974245769898,329.0,Midtown,Manhattan,40.75376141266251,-73.97173358677576,Entire condo,Entire home/apt,2,1.0,0.0,1.0,30,365,323,0,4.827142857142858,120.0,3.2,f,40,0.32837611703355607,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
808630105620176598,366.0,Midtown,Manhattan,40.75381293963043,-73.97294024191255,Entire condo,Entire home/apt,4,1.0,1.0,2.0,30,365,286,0,4.827142857142858,120.0,3.2,f,40,0.33794696149358094,1402,315.3181169757489,255.5,4.736751579376402,3698907958238.325,18.0,47489545826.169655,50000,35663.33808844508
